WP_145853129.1	WP_145853129.1
WP_056154608.1	WP_056154608.1
WP_239460031.1	WP_239460031.1
WP_111258449.1	WP_111258449.1
WP_111258449.1	WP_232827448.1
WP_111258449.1	WP_046771858.1
WP_111258449.1	WP_233552865.1
WP_111258449.1	WP_053204683.1
WP_111258449.1	WP_069108852.1
WP_212516844.1	WP_212516844.1
WP_040718660.1	WP_040718660.1
WP_247600159.1	WP_247600159.1
WP_188782448.1	WP_188782448.1
WP_240869157.1	WP_240869157.1
WP_133867849.1	WP_133867849.1
WP_045876159.1	WP_045876159.1
WP_045876159.1	WP_232425297.1
WP_221331729.1	WP_221331729.1
WP_181663085.1	WP_181663085.1
WP_041974114.1	WP_041974114.1
WP_067115910.1	WP_067115910.1
WP_234708214.1	WP_234708214.1
WP_234708214.1	WP_224862469.1
WP_234708214.1	WP_047318339.1
WP_234708214.1	WP_197745900.1
WP_234708214.1	WP_046301999.1
WP_234708214.1	WP_067969733.1
WP_234708214.1	WP_085129996.1
WP_234708214.1	WP_024440425.1
WP_234708214.1	WP_085137365.1
WP_234708214.1	WP_240176003.1
WP_234708214.1	WP_046285383.1
WP_234708214.1	WP_085137540.1
WP_234708214.1	WP_085263138.1
WP_116376372.1	WP_116376372.1
WP_116376372.1	WP_062539917.1
WP_116376372.1	WP_045384077.1
WP_116376372.1	WP_139799325.1
WP_163825585.1	WP_163825585.1
WP_163825585.1	WP_163841730.1
WP_163825585.1	WP_081505628.1
WP_163825585.1	WP_194978940.1
WP_163825585.1	WP_138455462.1
WP_163825585.1	WP_194993090.1
WP_163825585.1	WP_104360448.1
WP_163825585.1	WP_163810009.1
WP_163825585.1	WP_195010854.1
WP_163825585.1	WP_195015728.1
WP_163825585.1	WP_081597484.1
WP_163825585.1	WP_130917913.1
WP_163825585.1	WP_195040601.1
WP_163825585.1	WP_194986450.1
WP_163825585.1	WP_194989257.1
WP_163825585.1	WP_138450430.1
WP_187588526.1	WP_187588526.1
WP_072803354.1	WP_072803354.1
WP_136642280.1	WP_136642280.1
WP_230396158.1	WP_230396158.1
WP_116715346.1	WP_116715346.1
WP_055605747.1	WP_055605747.1
WP_062398180.1	WP_062398180.1
WP_062398180.1	WP_043280690.1
WP_092200042.1	WP_092200042.1
WP_230733889.1	WP_230733889.1
WP_169182257.1	WP_169182257.1
WP_200072267.1	WP_200072267.1
